Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num ADM,Num Acinar,Num Ductal_Amy_overexpr,Num Immune,Num Langerhans,Num Non_malignant_duct,Num Stroma,Num Stroma_periductal,Area µm^2,Perimeter µm,Num Stroma_Amy_leakage
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),b6ad7af9-fd0e-4c47-9bd6-6f7be830c330,Non_malignant_duct,Non_malignant_duct,Image,Polygon,459.89,374.98,7,0,0,1,0,0,6,0,0,792.22,111.84,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),f94e062c-04f5-41b5-9025-c7835d0d8fef,Non_malignant_duct,Non_malignant_duct,Image,Polygon,480.16,437.85,4,0,0,0,0,0,4,0,0,265.86,61.2,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),7d95bdc9-30af-4cfb-8af8-45166aee9394,Non_malignant_duct,Non_malignant_duct,Image,Polygon,652.3,417.27,16,0,0,0,0,0,16,0,0,2255.5,283.57,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),b173e5ac-64cd-49ef-8d03-70b25e10a398,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,294.62,905.29,2,1,0,1,0,0,0,0,0,175.71,50.2,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),69413f85-613a-451e-a6f0-07b4ec7e0fe8,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,409.12,432.4,3,0,0,3,0,0,0,0,0,557.64,108.51,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),695b250a-9ea1-41fd-9028-71c888485494,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,289.79,547.97,9,0,0,7,1,0,1,0,0,821.26,107.94,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),fbba57b0-aae0-43f6-938c-090dd1a4fd80,Stroma_periductal,Stroma_periductal,Image,Polygon,320.89,520.18,6,0,0,0,1,0,0,1,4,910.85,136.38,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),f3f9194d-b951-4614-af30-96840c674009,Stroma_periductal,Stroma_periductal,Image,Polygon,837.74,591.39,37,10,4,0,0,9,0,9,5,14627.4,789.39,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),2cd0233c-09dc-4665-8622-0826e74679f9,Immune,Immune,Image,Polygon,343.5,630.3,9,0,0,0,8,0,0,1,0,886.67,109.2,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),5fd74d04-5386-41ef-9886-a8e0b5e01119,Immune,Immune,Image,Polygon,298.42,602.28,14,0,0,0,9,1,0,4,0,2110.6,171.08,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),0b71bf02-923a-44a1-beb4-820f9a40b988,Immune,Immune,Image,Polygon,730.66,66.04,15,0,0,0,4,2,0,9,0,2043.6,184.6,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),6c22c2bd-4371-49b0-aa8d-99b7b386f390,ADM,ADM,Image,Polygon,582.47,718.88,5,2,1,0,0,1,0,0,1,590.98,107.58,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),ba695d13-32bf-4133-8aba-6a3898bbc1a8,ADM,ADM,Image,Polygon,428.14,596.63,2,2,0,0,0,0,0,0,0,247.54,61.91,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),f9ef996f-3ad7-40e4-a76c-2c1385c7ba3a,ADM,ADM,Image,Polygon,445.73,619.73,2,2,0,0,0,0,0,0,0,371.03,72.85,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),edb98e6f-18d4-430f-9ab5-f6301e95439a,ADM,ADM,Image,Polygon,463.13,522.7,5,4,0,0,0,0,0,0,1,500.5,84.38,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),b2b8f0da-8ae7-451a-9e22-6c7f9827faf4,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,682.16,351.7,5,0,0,3,0,0,2,0,0,375.5,74.99,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),6e85206a-c56f-4b29-8c4e-094ccb88c33e,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,842.18,250.08,5,0,0,5,0,0,0,0,0,449.17,85.54,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),9f8cd4bb-f82c-41ce-9ca9-cd36011a4e59,Stroma,Stroma,Image,Polygon,356.89,748.98,20,1,2,0,3,1,0,13,0,4120.7,251.78,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),0bf0d86b-54f7-4fe5-9c32-0d99e548f4c2,Stroma,Stroma,Image,Polygon,512.99,836.47,4,0,0,0,0,0,0,4,0,1696.5,192.18,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),641e34ca-954a-4dd9-9fab-ed52519cd62b,Stroma,Stroma,Image,Polygon,362.64,938.38,27,0,7,0,0,1,0,19,0,8096,432.03,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),4f71964f-8413-486d-a9c2-93b9199c45cb,Stroma,Stroma,Image,Polygon,174.46,496.5,52,0,2,0,8,7,0,34,1,8554.9,594.64,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),d50a2e68-8dc1-46db-a0ae-84de31adf04a,Stroma,Stroma,Image,Polygon,201.35,668.69,36,0,0,0,7,2,1,26,0,7492.1,425.23,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),86729044-78ba-4d6c-8f08-7a8a6af663d9,Stroma,Stroma,Image,Polygon,741.35,745.17,16,0,0,1,2,0,0,13,0,3604.7,248.63,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),75d6989e-76d0-4e51-805a-32cdfe5d8451,Stroma,Stroma,Image,Polygon,588.29,374.35,3,0,1,0,1,1,0,0,0,374.49,73.1,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),342ed51a-d5a9-4845-b486-4b339aa933a4,Stroma,Stroma,Image,Polygon,500.06,469.89,2,0,0,0,1,0,0,0,1,201.46,57.9,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),225015db-5abb-43d5-a029-f2d858c46c72,Acinar,Acinar,Image,Polygon,587.3,430.78,2,0,1,0,0,0,0,1,0,174.76,53.44,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),076cb7fe-d048-4c91-9cea-9407544ea17a,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,729.9,626.68,2,2,0,0,0,0,0,0,0,171.41,48.85,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),7ecb488b-6201-4098-821a-3ba0856500f6,Stroma,Stroma,Image,Polygon,719.03,633.65,1,0,0,0,0,0,0,1,0,208.11,60.87,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),9ba3cfa3-339f-481f-8319-95a59a5c7278,cell_cleanup,cell_cleanup,Image,Geometry,720.59,417.41,0,0,0,0,0,0,0,0,0,13369.2,633.96,
PKR11_K19amy_pd lobule A.nd2 - PKR11_K19amy_pd lobule A.nd2 (series 1),a389e4b1-f5c2-4055-9dc2-22e45bf17154,Tumor,Tumor,Image,Geometry,123.02,149.08,0,0,0,0,0,0,0,0,0,34185.5,1286.4,
PKR11_K19amy_pd lobule B.nd2 - PKR11_K19amy_pd lobule B.nd2 (series 1),e99d1cce-f881-4c7d-9d13-0b3f0c1e0ebd,l_atrophy,l_atrophy,Image,Polygon,1399.1,2657.8,7401,2,3,404,18,40,1865,4748,33,1459997.5,4831.2,288
PKR11_K19amy_pd lobule B.nd2 - PKR11_K19amy_pd lobule B.nd2 (series 1),95b34130-f239-47a3-83ee-77cee825df22,l_atrophy,l_atrophy,Image,Polygon,831.64,506.67,3159,3,1,45,2,15,860,2090,32,575823.9,3003,111
PKR11_K19amy_pd lobule B.nd2 - PKR11_K19amy_pd lobule B.nd2 (series 1),184421d2-6b14-4ff4-a482-ac4c43a78f3f,Tumor,Tumor,Image,Geometry,1085.7,1158.9,0,0,0,0,0,0,0,0,0,563960.7,17468,0
PKR14_K19amy_d lobule A.nd2 - PKR14_K19amy_d lobule A.nd2 (series 1),da12c13f-ee4c-4b09-a5e8-f7c1b106afea,l_atrophy_tu,l_atrophy_tu,Image,Polygon,907.79,715.94,1118,12,3,16,25,22,163,653,170,225188.9,2211.9,54
PKR14_K19amy_d lobule A.nd2 - PKR14_K19amy_d lobule A.nd2 (series 1),f859e148-5c1d-4a8a-92d4-c19f4469c48d,l_atrophy_tu,l_atrophy_tu,Image,Polygon,915.28,2212.3,1170,8,1,57,14,39,251,384,371,228151.9,1937.4,45
PKR14_K19amy_d lobule A.nd2 - PKR14_K19amy_d lobule A.nd2 (series 1),cf90365d-f9f7-4dba-bcdb-18701a05111b,Tumor,Tumor,Image,Geometry,1549.6,1777.6,0,0,0,0,0,0,0,0,0,3498097.5,48323.5,0
PKR14_K19amy_d lobule A.nd2 - PKR14_K19amy_d lobule A.nd2 (series 1),00e718b3-541e-4c67-8978-59dc05bb365f,l_atrophy_tu,l_atrophy_tu,Image,Polygon,1528.2,2626.3,3161,33,36,54,114,80,558,1369,651,653083.4,3669,266
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),836cc42a-083c-47fd-a317-5de0af240dff,l_atrophy_tu,l_atrophy_tu,Image,Polygon,1747,2747.4,37273,241,5,3632,5514,11494,2228,9868,4291,8590240.6,11261.4,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),7ae98b32-11aa-48fe-afcd-f4bbbedf0ad8,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,2464.3,3091.4,0,0,0,0,0,0,0,0,0,10452.3,564.69,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),31b4275e-dad9-42e7-bd29-94e4c5fea5e4,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,2221.4,2550.9,0,0,0,0,0,0,0,0,0,7950.4,415.06,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),e0b33134-efaf-4619-b18a-4d029f7632ab,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,1314.2,2526,0,0,0,0,0,0,0,0,0,16435.4,1056.6,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),b0908953-ee3f-49ec-8c9e-1591f9fdb67d,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,665.01,2905.3,1,0,0,1,0,0,0,0,0,16926,1013.7,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),b40a3862-ed89-4eb8-8caf-1fd8089dc215,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,1136.9,1617.4,0,0,0,0,0,0,0,0,0,3918.7,353.88,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),114d1068-5729-47a8-8c38-15d5a150a94a,Acinar,Acinar,Image,Polygon,736.05,2358.4,1,1,0,0,0,0,0,0,0,126.67,46.08,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),27fd8acb-60b7-4d3d-a128-6d65f4dd36f1,Langerhans,Langerhans,Image,Polygon,722.33,1486.2,174,0,0,0,0,173,0,0,1,24566.1,600.86,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),f9cb1c00-0299-4fe6-9a97-74768c964b4a,Langerhans,Langerhans,Image,Polygon,1004,1608,197,0,0,0,0,196,0,0,1,27712.4,665.9,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),c7761224-ce29-4269-a9a6-780ae59e1dc3,Langerhans,Langerhans,Image,Polygon,2429.3,4142.4,72,0,0,0,0,71,0,0,1,11539.6,394.21,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),896b0acf-2fc8-4d01-ad77-46c1e7cf7505,Stroma,Stroma,Image,Polygon,2329.2,4113.7,10,0,0,0,0,0,0,10,0,1765.7,162.62,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),2d73a24d-5bc8-414f-a557-491f25cbef38,Stroma,Stroma,Image,Polygon,2768.4,4223.7,108,0,0,0,0,0,0,108,0,32027.4,1172.4,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),c2adb7d4-27a3-414e-93fe-66012fac58b5,Stroma,Stroma,Image,Polygon,769.52,3353.2,41,0,0,0,0,1,0,40,0,9192.8,501.51,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),e73dc1df-d350-4e43-b779-32aab28ccff0,Stroma,Stroma,Image,Polygon,1448.4,1100.9,119,0,0,0,0,0,0,119,0,57029.3,912.09,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),c9bfbb07-c931-4224-a4a5-1b663f0d60d6,Immune,Immune,Image,Polygon,760.43,1137.8,112,0,0,0,111,0,0,1,0,10370.1,387.22,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),91a6e5da-d5ee-47f1-9605-2f37b6b278a4,Immune,Immune,Image,Polygon,937.26,833.87,49,0,0,0,47,1,0,1,0,5555.2,283.17,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),35613c5f-9371-4f4b-822f-774d6e3fbad5,Immune,Immune,Image,Polygon,759.06,1854.3,68,0,0,0,64,1,0,2,1,7927.4,354.23,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),51774be0-46ab-4d28-8dc6-1e8d8ac0b3d8,Stroma,Stroma,Image,Polygon,392.82,2172.1,31,0,0,0,0,0,0,31,0,6900.1,334.78,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),3b0e138a-b8d2-4349-b628-42c597df0cc0,Stroma_periductal,Stroma_periductal,Image,Polygon,456.35,2220.6,26,0,0,0,0,0,0,0,26,2932.2,343.64,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),50a6b194-b28e-4564-af90-f8d1b2ba5fd4,Stroma_periductal,Stroma_periductal,Image,Polygon,546.47,2092,19,0,0,0,0,2,0,0,17,2622.2,192.33,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),5c308f2c-1238-4c52-8507-aed65998989d,Stroma_periductal,Stroma_periductal,Image,Polygon,507.92,2020.7,4,0,0,0,1,0,0,0,3,867.29,118.65,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),5fd62221-ec85-47f3-b77e-bd4fcc86ae98,Stroma_periductal,Stroma_periductal,Image,Polygon,1866.3,4096.2,58,0,0,0,0,0,0,0,58,7306.2,512.1,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),a965dc35-5dbf-4ade-8093-c70949b3a427,Stroma_periductal,Stroma_periductal,Image,Polygon,2209.1,1979.8,72,0,0,0,0,1,0,0,71,9550.9,575.26,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),1c579719-a2e4-44c7-882c-272a72b3f5b6,Stroma_periductal,Stroma_periductal,Image,Polygon,2089.3,1987.3,18,0,0,0,0,0,0,0,18,2419.4,213.27,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),42b8bfd6-097e-4b2a-bcb7-84155fc6c3cc,Stroma_periductal,Stroma_periductal,Image,Polygon,1921,1841.2,52,0,0,0,0,0,0,0,52,7688.8,328.08,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),08c627bc-ada7-499c-a948-5877639b8d15,Non_malignant_duct,Non_malignant_duct,Image,Polygon,1331.5,1252.1,3,0,0,0,0,0,3,0,0,324.11,86.34,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),024227ff-30df-40cc-a1ca-1675cd152055,Non_malignant_duct,Non_malignant_duct,Image,Polygon,510,1940.1,3,0,0,0,0,0,3,0,0,275.19,65.31,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),25e79d90-9b58-446a-a2a6-78530a509cf5,ADM,ADM,Image,Polygon,460.78,2037.4,1,1,0,0,0,0,0,0,0,132.04,43.93,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),d457d138-3ac4-42ea-adbb-245acb8fefe0,ADM,ADM,Image,Polygon,484.92,2053.7,2,2,0,0,0,0,0,0,0,278.93,65.83,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),7745b290-d1ca-47cb-9c61-42b01cf549f1,Non_malignant_duct,Non_malignant_duct,Image,Polygon,457.21,1923.9,3,0,0,0,0,0,3,0,0,266.2,68.33,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),b0c4ecc7-10a9-417c-bb3c-0a650c696ca8,Non_malignant_duct,Non_malignant_duct,Image,Polygon,637.85,1747.4,6,0,0,0,0,0,6,0,0,457.88,80.77,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),45475e03-172a-4d7a-bcf8-7c034ac5d692,Ductal_Amy_overexpr,Ductal_Amy_overexpr,Image,Polygon,992.67,906.64,15,0,0,15,0,0,0,0,0,2437.8,184.49,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),e4bed2d8-d596-469f-a066-7848aa9f70e9,Non_malignant_duct,Non_malignant_duct,Image,Polygon,1397.9,1820.2,5,0,0,0,0,0,5,0,0,538.65,91.81,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),63c0e2e9-d72d-4921-94e3-f35ca26d2938,Non_malignant_duct,Non_malignant_duct,Image,Polygon,1421.5,1797.8,9,0,0,0,0,0,9,0,0,609.69,110.72,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),4fb1a948-ceec-4ece-925f-de5daea4cfce,ADM,ADM,Image,Polygon,962.71,2108.9,5,5,0,0,0,0,0,0,0,270.89,62.14,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),cf3692a8-abe6-433d-b5eb-2ba1abea3195,ADM,ADM,Image,Polygon,879.43,2312.1,3,2,0,1,0,0,0,0,0,278.71,83.69,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),4dc447dd-6fb8-44cc-a32e-aa0e7caf7c41,Acinar,Acinar,Image,Polygon,885.73,2301,2,0,2,0,0,0,0,0,0,121.59,52.75,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),b9c8bc62-61d5-40e2-b050-d068def52cc1,Non_malignant_duct,Non_malignant_duct,Image,Polygon,559.01,2481.6,19,0,0,0,0,0,19,0,0,1584.7,222.83,
PKR14_K19amy_pd lobule A.nd2 - PKR14_K19amy_pd lobule A.nd2 (series 1),725f2889-bbef-4446-8778-121e7ea83780,Tumor,Tumor,Image,Geometry,2183.8,2829,0,0,0,0,0,0,0,0,0,3503345.8,59156.2,
PKR14_K19amy_pd lobule B.nd2 - PKR14_K19amy_pd lobule B.nd2 (series 1),5507acd7-1463-4010-9fa4-0a4f43f1c63f,l_atrophy_tu,l_atrophy_tu,Image,Polygon,1159.7,1222.1,2930,13,,121,490,861,110,1200,135,812547.7,4138.9,
PKR14_K19amy_pd lobule B.nd2 - PKR14_K19amy_pd lobule B.nd2 (series 1),cd8efc95-708c-48c7-ae55-0b5bd3ae3e8e,l_atrophy_tu,l_atrophy_tu,Image,Polygon,234,741.7,2643,10,,225,351,553,341,790,373,474399.5,2858.1,
PKR14_K19amy_pd lobule B.nd2 - PKR14_K19amy_pd lobule B.nd2 (series 1),94d6337d-f3ca-42c0-8443-93f275461211,Tumor,Tumor,Image,Geometry,1363.9,837.04,0,0,,0,0,0,0,0,0,1307019,29853,
PKR14_K19amy_pd lobule C (uncropped).nd2 - PKR14_K19amy_pd lobule C (uncropped).nd2 (series 1),69d339f3-1606-4bdf-85a7-9963196e8ee4,l_atrophy_tu,l_atrophy_tu,Image,Polygon,1442.2,2075.5,12864,36,,793,1262,3923,692,4713,1445,2629712.2,,
PKR14_K19amy_pd lobule C (uncropped).nd2 - PKR14_K19amy_pd lobule C (uncropped).nd2 (series 1),dae602b0-1fe1-4d16-b6f0-244dbfeba280,l_atrophy_tu,l_atrophy_tu,Image,Polygon,2757.1,2479.2,3912,21,,195,318,1720,225,821,612,876332.8,4038.9,
PKR14_K19amy_pd lobule C (uncropped).nd2 - PKR14_K19amy_pd lobule C (uncropped).nd2 (series 1),508dc492-3c2f-447e-9f53-8c16f831dd93,l_atrophy_tu,l_atrophy_tu,Image,Polygon,2140.5,3747.7,1436,5,,57,104,808,52,207,203,362663.5,2243,
