Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Num points	Area µm^2	Perimeter µm
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	a1a87578-bc10-4a3f-a239-1ab12c3ae9c3	fibroblasts	fibroblasts	stroma 5	Points	33063.1	7887.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	103c2558-1ef4-4a87-b85e-600f477f769b	fibroblasts	fibroblasts	stroma 5	Points	33072	7898.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	8b4dbedc-d8d1-449b-b24c-44c493a0bba9	fibroblasts	fibroblasts	stroma 5	Points	33061.3	7917.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	fb9cb1a0-7415-4175-99aa-752b4422df41	fibroblasts	fibroblasts	stroma 5	Points	33056.9	7925.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	7d3a60a4-b50e-44d8-9deb-72440eb784eb	fibroblasts	fibroblasts	stroma 5	Points	33053.4	7933	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	a72300de-a375-470e-a7ee-2cbc3215d167	fibroblasts	fibroblasts	stroma 5	Points	33050	7941.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	d53507c0-81c0-4d20-9690-514356afe8a6	fibroblasts	fibroblasts	stroma 5	Points	33050	7950.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	25186f1c-8b77-4ad2-9870-c2a84551a092	fibroblasts	fibroblasts	stroma 5	Points	33050.4	7959.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	b106fb8b-0732-46de-9f7a-432c0a14b37a	fibroblasts	fibroblasts	stroma 5	Points	33049.5	7969.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	1157eef2-7052-44b6-9304-3951a3c35a5f	fibroblasts	fibroblasts	stroma 5	Points	33046.4	7992.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	8cf10957-dde0-47fc-82e8-5a11636327bd	fibroblasts	fibroblasts	stroma 5	Points	33039.4	8015.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	bb99a626-67d9-4124-9bc8-323c0eae7efb	fibroblasts	fibroblasts	stroma 5	Points	33033.7	8023.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	5ed9cda4-a0b0-4b2b-aa83-631ba91c842b	fibroblasts	fibroblasts	stroma 5	Points	33019.2	8033.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	ab49c68a-f7f6-47ae-a6f7-fc6515ac959c	fibroblasts	fibroblasts	stroma 5	Points	33005.6	8051.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	ab42026f-65d4-4003-a2de-b81026cd0d41	fibroblasts	fibroblasts	stroma 5	Points	33131.7	7752.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	37fd1376-cbb7-4b8a-a81c-903153f5d42d	fibroblasts	fibroblasts	stroma 5	Points	33143.2	7756.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	1b1d193d-11ab-4916-95b6-1ed471b4e5b6	fibroblasts	fibroblasts	stroma 5	Points	33151.5	7750.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	74661ec1-ad45-4c4d-a02c-e8555237d826	fibroblasts	fibroblasts	stroma 5	Points	33145.1	7743.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	e63a87d0-52d1-4d79-b5a7-6c2431633119	fibroblasts	fibroblasts	stroma 5	Points	33148.8	7699.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6f39d507-e0b3-4c89-9657-fe056816b5e7	fibroblasts	fibroblasts	stroma 5	Points	33159	7697.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	99a076b6-3983-42d8-a773-5e50724b098c	fibroblasts	fibroblasts	stroma 5	Points	33176.4	7695	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6770b5ac-52a5-40c0-9a77-0ca2d837d530	fibroblasts	fibroblasts	stroma 5	Points	33186.5	7707.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	f26683ee-dfcc-447f-895f-b93a62712d6b	fibroblasts	fibroblasts	stroma 5	Points	33185.7	7716.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	df95202e-a9cc-469d-b21f-f36350f4e687	fibroblasts	fibroblasts	stroma 5	Points	33194.5	7725.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	c38f44c7-c237-4212-9bcf-fd3bbfc6ea10	fibroblasts	fibroblasts	stroma 5	Points	33195.9	7741.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	f228d517-4ce0-49b9-a4ef-21d9095dabb3	fibroblasts	fibroblasts	stroma 5	Points	33203.6	7761.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	35357806-ffc6-4e16-8624-2699467866b9	fibroblasts	fibroblasts	stroma 5	Points	33196.9	7749.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	f9f87fd3-92cd-4d8c-a4cf-7502418ae37f	fibroblasts	fibroblasts	stroma 5	Points	33218.7	7755.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	a42d0826-c687-4a86-b4e5-9b55f98c0580	fibroblasts	fibroblasts	stroma 5	Points	33251	7751.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	4a4a9aa8-3c5a-4d96-a960-bcdb7ab2dd43	fibroblasts	fibroblasts	stroma 5	Points	33267.1	7767.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	4197dcb5-7ede-453d-b423-d76a652a9927	fibroblasts	fibroblasts	stroma 5	Points	33277.9	7783.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	fc0dd516-e8cd-4515-960e-0713accd87fc	fibroblasts	fibroblasts	stroma 5	Points	33265.5	7798.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6c7e2515-18d4-45c7-abc5-41c7863d18b5	fibroblasts	fibroblasts	stroma 5	Points	33253.2	7809.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	0ce3c327-a5cf-4b1d-bcec-35fb30a2cf99	fibroblasts	fibroblasts	stroma 5	Points	33235.6	7813	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6bd2a3a5-82b3-491c-a46c-41fb69181264	fibroblasts	fibroblasts	stroma 5	Points	33219.2	7814.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	03a2e6ca-c89c-4268-a206-9666477ef2f5	fibroblasts	fibroblasts	stroma 5	Points	33211.2	7810.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	b9acbdff-fd66-426c-8304-d21c3ab3d6fb	fibroblasts	fibroblasts	stroma 5	Points	33202.3	7810.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	a7ed0bca-ad5a-466e-9f46-68a35a315d3d	fibroblasts	fibroblasts	stroma 5	Points	33188.1	7807.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	52ca0e90-dd4b-4dd6-932b-38dc8ba1ed77	fibroblasts	fibroblasts	stroma 5	Points	33174.2	7800.5	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	ccc680ee-f176-4c72-81af-b2188038f9cc	fibroblasts	fibroblasts	stroma 5	Points	33167.4	7794.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	3ba673d8-816d-4a19-a1af-c9802c0e58cc	fibroblasts	fibroblasts	stroma 5	Points	33155.8	7794.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	32346ee4-f757-4443-b663-8804f7bbdacb	fibroblasts	fibroblasts	stroma 5	Points	33144.4	7787.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	ffff1c87-ffa2-43c4-b1ac-24d10148ea57	fibroblasts	fibroblasts	stroma 5	Points	33135.5	7782.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	497cc294-845d-4a5a-b924-31916552c0b8	fibroblasts	fibroblasts	stroma 5	Points	33127.7	7774	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	12f52fb4-61fe-4f0a-a61c-5707fab0208b	fibroblasts	fibroblasts	stroma 5	Points	33125.1	7765.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	22aaa1b2-9406-405f-bc9d-7d95a2ee1f7d	fibroblasts	fibroblasts	stroma 5	Points	32879.4	7928.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6b96ddba-fd9c-4dc3-8056-1e9c6b0e5a4a	fibroblasts	fibroblasts	stroma 5	Points	32864.7	7940.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	1384d196-5f57-4ebc-9f6e-916888fec89b	fibroblasts	fibroblasts	stroma 5	Points	32850.7	7950.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	f83bc623-7c8e-4efd-960f-fba098a008e9	fibroblasts	fibroblasts	stroma 5	Points	32828.1	7951.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	779b8f76-72f1-4d98-9a42-545a2ce08e73	fibroblasts	fibroblasts	stroma 5	Points	32826.3	7935.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	0c0552e0-411f-442c-bef0-1e40becb7cd0	fibroblasts	fibroblasts	stroma 5	Points	32807.4	7932	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	65674555-a040-4848-a7b3-6e35b93204f4	fibroblasts	fibroblasts	stroma 5	Points	32790.5	7942.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	b31c683b-4a87-49b4-8a44-b406ee0538ed	fibroblasts	fibroblasts	stroma 5	Points	32778.7	7924.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	726ab07c-6be5-4b8c-a70c-0540c61c0353	fibroblasts	fibroblasts	stroma 5	Points	32783.1	7914	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	386b6ccd-b730-4611-a3de-c877ee5d348a	fibroblasts	fibroblasts	stroma 5	Points	32775.2	7897.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	29b585e9-c535-41a5-9a2f-dd13a81c262f	fibroblasts	fibroblasts	stroma 5	Points	32763.2	7897.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	61256003-610b-438d-a925-90b665ab7d04	fibroblasts	fibroblasts	stroma 5	Points	32752.5	7892.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	7c39532e-0157-4f9e-a444-247dddb83f5e	fibroblasts	fibroblasts	stroma 5	Points	32965.6	7461.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	ce03c09a-f2b9-46bb-8643-faa5e4d7ffaf	fibroblasts	fibroblasts	stroma 5	Points	32974.7	7458.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	24806f91-267b-4bfa-bc8f-67b4f22226df	fibroblasts	fibroblasts	stroma 5	Points	32962.4	7512	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	a063e1fe-12c5-4930-90db-4b9ac0ffbc19	fibroblasts	fibroblasts	stroma 5	Points	32990	7514.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6ff4b718-8d3d-48be-9c33-6c7dcf51af5c	fibroblasts	fibroblasts	stroma 5	Points	33006.9	7505	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	5a2f4f35-a4b1-471b-8f43-f8215b384944	fibroblasts	fibroblasts	stroma 5	Points	33011.8	7494.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	0b0213c4-8af8-4a6e-aa9c-c69b948b77fe	fibroblasts	fibroblasts	stroma 5	Points	32690.3	7900.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	b8b4d0ba-43b0-4156-bbcb-004031f0a4a7	fibroblasts	fibroblasts	stroma 5	Points	32711	7893.5	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	f60ad4e6-884b-4027-97a0-f120f496237d	fibroblasts	fibroblasts	stroma 5	Points	32718	7875.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	aeb0c608-d046-4457-821c-dd9b91a752b0	fibroblasts	fibroblasts	stroma 5	Points	32713.8	7853.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	72f01bfa-5e00-49b2-a009-e69f735b5741	fibroblasts	fibroblasts	stroma 5	Points	32704.2	7833.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	96d3033b-1a3f-4a92-8718-2b14ad1d0050	fibroblasts	fibroblasts	stroma 5	Points	32717.2	7820.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	4a783581-9b5c-4972-89f6-ac6938f31c3d	fibroblasts	fibroblasts	stroma 5	Points	32728.7	7815.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	529a240e-883c-42b8-8f1d-73622282477a	fibroblasts	fibroblasts	stroma 5	Points	32721.6	7820.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	efbc93d3-f1ba-48e9-8390-9df53782285b	fibroblasts	fibroblasts	stroma 5	Points	32735.9	7815.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	1c8421f0-33e2-4d49-8f44-e21aed056a9c	fibroblasts	fibroblasts	stroma 5	Points	32738.2	7796.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	623c305f-c699-4892-a4cb-f11bcb38fd78	fibroblasts	fibroblasts	stroma 5	Points	32736.6	7789.5	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	cd20f34f-8810-44a1-9cc7-3a23e1dcf0fb	fibroblasts	fibroblasts	stroma 5	Points	32733.3	7777	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	c31c762b-4e15-475a-af62-26d8ac6ddbc7	fibroblasts	fibroblasts	stroma 5	Points	32733.8	7769.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	75a3b13f-822c-4885-baec-fa846c60d5b3	fibroblasts	fibroblasts	stroma 5	Points	32739	7753	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	9e4d9f7c-bd70-494a-8577-4862313f6fbc	fibroblasts	fibroblasts	stroma 5	Points	32729.7	7743.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	583fba43-8821-436b-8efb-6c0a552c87dd	fibroblasts	fibroblasts	stroma 5	Points	32720.2	7744.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	e5307fe3-beb4-41e1-bf90-6849e5deabce	fibroblasts	fibroblasts	stroma 5	Points	32709.4	7745.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	4a195ee1-10d2-474a-854c-b04882e5504f	fibroblasts	fibroblasts	stroma 5	Points	32708.6	7722.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	2f89e249-c780-4642-887b-5a39d22df7dc	fibroblasts	fibroblasts	stroma 5	Points	32775.2	7778.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	e9d7b511-beb7-410e-92b2-8f43ddc6c01f	fibroblasts	fibroblasts	stroma 5	Points	32771.8	7760.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	dbe70261-8fec-42fd-8db4-e4faaea29ff7	fibroblasts	fibroblasts	stroma 5	Points	32777.4	7744.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	9b136ede-2494-466f-9098-64abf7eceaab	fibroblasts	fibroblasts	stroma 5	Points	32786.9	7743	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	969d3c54-cb87-452f-8b67-324de9cc64c6	fibroblasts	fibroblasts	stroma 5	Points	32793.8	7748.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	f8899950-53c0-4e0a-9442-c0ca08b2a85f	fibroblasts	fibroblasts	stroma 5	Points	32794.6	7760	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	44537d00-8323-4013-86f4-fd2e559fced0	fibroblasts	fibroblasts	stroma 5	Points	32789.2	7776.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	57771832-2650-4de1-886b-22f645ceacc6	fibroblasts	fibroblasts	stroma 5	Points	32730.3	7860.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	5bd2828a-4b72-4e77-8795-ce3946cf64da	fibroblasts	fibroblasts	stroma 5	Points	32733.8	7847.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	76c11e63-d029-4a8f-9c89-c9715010af98	fibroblasts	fibroblasts	stroma 5	Points	32741.6	7890.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	814da5b8-2d3d-4f98-a558-9ae792bb61a1	fibroblasts	fibroblasts	stroma 5	Points	33374.1	7891.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	1a4e20d9-fe03-4dc3-9da4-89e2e1daad73	fibroblasts	fibroblasts	stroma 5	Points	33366.5	7887.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	dfe1c5df-45be-47b9-82f3-34470ac1d49a	fibroblasts	fibroblasts	stroma 5	Points	33351.3	7875	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	8ddb8338-48e1-457b-b0d7-8c29fb73d4b8	fibroblasts	fibroblasts	stroma 5	Points	33335.9	7866.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	32183c96-1451-4ba9-87ba-2fc71438db1b	fibroblasts	fibroblasts	stroma 5	Points	33316.4	7870.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	613e97b8-58c8-4193-b303-6c7cafaac58b	fibroblasts	fibroblasts	stroma 5	Points	33299.7	7868.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	e4e6ebd5-f67f-4981-9a57-0b77b211b164	fibroblasts	fibroblasts	stroma 5	Points	33285.2	7879.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	42473058-6e76-48c3-b422-120e870225d0	fibroblasts	fibroblasts	stroma 5	Points	33278.6	7886.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	8b3bee87-fbdd-40d9-a55b-a4af84b1ccfe	fibroblasts	fibroblasts	stroma 5	Points	33276	7897.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	9c0df3e3-ea04-4fd4-96ea-39972435e2c6	fibroblasts	fibroblasts	stroma 5	Points	33280.6	7906	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	b088b666-573e-4689-a372-8349f7a7e0b9	fibroblasts	fibroblasts	stroma 5	Points	33276.6	7917.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	ac78a510-f39c-44a8-b9fd-c9930dd140d4	fibroblasts	fibroblasts	stroma 5	Points	33278.4	7911.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	1410d9eb-df13-4985-82e0-b1b4790d2dfc	fibroblasts	fibroblasts	stroma 5	Points	33273.4	7922.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	da5c4bc8-686b-4eb1-8a78-0714d6b53915	fibroblasts	fibroblasts	stroma 5	Points	33270.1	7926	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	5697adeb-db8e-4ed9-b26b-06ad1f5aa578	fibroblasts	fibroblasts	stroma 5	Points	33256.2	7930.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	c0200954-ffc1-44fd-8b0f-f7d69725d360	fibroblasts	fibroblasts	stroma 5	Points	33248.7	7932.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6d55202f-4491-4b3b-bdbf-a57af1944e91	fibroblasts	fibroblasts	stroma 5	Points	33238.9	7939.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	179d00c6-3cd5-4545-8b07-a03072fbc775	fibroblasts	fibroblasts	stroma 5	Points	33230.9	7951.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	3b898276-48ff-459d-8df0-460141d38ff5	fibroblasts	fibroblasts	stroma 5	Points	33230	7970.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	1e7f8303-8e66-4152-a400-f2bfdcf718b5	fibroblasts	fibroblasts	stroma 5	Points	33239.3	7984	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	32c28cc6-6b73-46f5-adff-c49ab089be64	fibroblasts	fibroblasts	stroma 5	Points	33248	7998.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	dcefe9f6-3e11-4aa1-8bd1-ed96c6037345	fibroblasts	fibroblasts	stroma 5	Points	33248.6	8001.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	5af18708-d58a-42ec-9dd0-75b44543558c	fibroblasts	fibroblasts	stroma 5	Points	33235.5	7999.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	0d2fdd9b-615a-4b65-82e8-01b29ac57431	fibroblasts	fibroblasts	stroma 5	Points	33223.7	7997.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	9a59b58d-fedd-48b4-bd1a-0e2cc145c55e	fibroblasts	fibroblasts	stroma 5	Points	33219.3	7989.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	9c04dad8-7d17-4fd0-b73e-e68c43454ad2	fibroblasts	fibroblasts	stroma 5	Points	33208.4	7980.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	3dd205ec-08b6-4b10-97a6-738863596e38	fibroblasts	fibroblasts	stroma 5	Points	33197.6	7962.2	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	8901c445-65b4-451a-aae0-e47d079432fd	fibroblasts	fibroblasts	stroma 5	Points	33190.8	7954.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	34c4b3a4-9607-4a92-ae33-047f715f7a72	fibroblasts	fibroblasts	stroma 5	Points	33188.4	7937	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	8268e492-57a2-4a9d-bb09-6cce3852e55a	fibroblasts	fibroblasts	stroma 5	Points	33184	7928.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	6c720c71-3b85-458a-8cfd-06614bab56d9	fibroblasts	fibroblasts	stroma 5	Points	33179.3	7909.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	24b2d88f-47c9-4c78-8b95-1fc22daf5513	fibroblasts	fibroblasts	stroma 5	Points	33174.2	7918.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	d57b8254-8dfa-413f-bd8b-054a237ca099	fibroblasts	fibroblasts	stroma 5	Points	33179.3	7894.6	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	9443f8f3-d908-41ab-a818-98a38d7e71c1	fibroblasts	fibroblasts	stroma 5	Points	33177.1	7881.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	93f4bf14-68d3-41b3-be22-5f83242b6a19	fibroblasts	fibroblasts	stroma 5	Points	33176.7	7869.9	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	0c117e59-596f-4b72-b764-3332d389211d	fibroblasts	fibroblasts	stroma 5	Points	33160.3	7856.7	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	c4f27f55-47b9-4d73-aa2d-b731da0b0b9b	fibroblasts	fibroblasts	stroma 5	Points	33152.1	7857.3	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	1bb2c0d5-0054-4840-a24c-3b2772e91214	fibroblasts	fibroblasts	stroma 5	Points	33143.2	7855.4	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	77dcca28-343a-4cde-ad36-4759102d59d3	fibroblasts	fibroblasts	stroma 5	Points	33119.7	7854.8	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	7d8c2072-0c39-4a62-b4de-efcb097eae99	fibroblasts	fibroblasts	stroma 5	Points	33442.5	8277.1	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	c34fae61-a45b-4144-b239-dbe45e20a38b	fibroblasts	fibroblasts	stroma 5	Points	33445.1	8293	1		
PKR-51-CD146_NGFR_manual_pins_new_rois.ndpi	67dd01ca-bb5f-4653-b92b-29662e4d1b0b	fibroblasts	fibroblasts	stroma 5	Points	33449.4	8303.9	1		
