Image,Class,Area µm^2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2082.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3696.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,33761.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,43815.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,11766.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,81534.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4015.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,14170
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6368
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,75929.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,88247.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7454.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,11402.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,50002.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,28186.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,51260.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2125.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,21712.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,53742.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5249.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,8665.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3720.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4427.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,15740.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1215.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2988.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1712.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2723.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5794.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7601.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7138.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6162.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2618.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1025.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2961.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2353.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1307.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1307.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1363.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,9969.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,10438.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,516.09
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,33551.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,11635.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4529.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,11343.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4529.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1307.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1307.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,23573.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1776.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,2332.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3090.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,516.09
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,2037.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3903.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4768.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,2911.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,26556.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3292.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3292.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,6995.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4923.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4664.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,32549.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,747.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,351205.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,337648.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2981.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1638.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1638.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1638.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1638.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3297.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,48508.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,57146.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,27807.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2216.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,112439.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,18183.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,11584
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,10105.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,25366.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,8445.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7407.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3699.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,31151.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,11087.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,18183.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3292.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7850.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3937
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5351.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,20132.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,25136.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,13886
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4529.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,25351.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,16166.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,12637.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1397.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4781.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3638.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6718.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1397.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1429.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,73745.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6915.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,50206.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,8282.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,56497.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6280.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6916.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,95027.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,20027.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,8905.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,18253.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,23099.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,26598.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,18455
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,17135.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4015.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,19267.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,14047.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5082.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2310.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5614.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,117121.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,9233.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2944.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,17216.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,20425.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4838.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,5085
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,26350.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4772.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,5118.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,18554
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,72499.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,51531.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor other invasion,29499.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,25671.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,14437.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,35280.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,86370.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,19092.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,4539
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3011.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,15720.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,26614.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,5062.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,139553.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,13919.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,3215.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,14290.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,72345.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,19380.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,69413.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,83271.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5370.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7219.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1382
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7067.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7280.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,8437.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,10729.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3016.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7475.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,98907.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,978.21
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,138047.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,79081
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,6892.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,5075
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,43514.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,62912.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,28557.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor lobular acinar invasion,30976.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1703.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,9028.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6243.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,16936
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,17715
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3696.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,19002.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3861
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,13030.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,35010.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4188.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,760529.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,31348.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2248.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,52589.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,87744.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,10187.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5927.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6956.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,18414
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3515.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,15649.5
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5591.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,21474.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,8902
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,7756.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,13572.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,76737.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,36128.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5140.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,4999.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1121.9
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1408.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,494.44
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1449
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1449
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1986.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2548.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1457.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,85740.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1556.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,1029.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5330.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,15447.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6792.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5226.4
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,21140.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2542.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,2542.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,9585.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6270
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,836.1
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,3127.6
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5021.3
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,72483.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,25169.7
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,35733
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,5834.2
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,12160.8
PKR-2-p53_d240_cald_maspin.ndpi,Tumor stromal invasion,6630.2
