Image,Object ID,Name,Class,Parent,ROI,Nucleus: P53 mean,Nucleus: P53 sum,Cell: ASMA mean,Cell: NGFR mean,Cell: PDGFRa mean,Cell: CD74 mean,Cell: Vimentin mean,Nucleus/Cell area ratio
PKR-67_Vimcell ,a2417926-75ad-4b4e-bc4c-41c02a41129a,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,Middle_stroma_roish,Polygon,0.1667,42,33.432,1.6688,22.8176,101.5912,127.3136,0.1993
PKR-67_Vimcell ,a29c6c2b-5ef0-4743-8c0e-14c30c654c67,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roish,Polygon,5.4861,395,83.5347,6.6343,77.0958,26.4741,121.1412,0.0858
PKR-67_Vimcell ,85e811b7-dcf9-48bd-8212-0d4d9efb0e77,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roish,Polygon,4.3036,241,79.1562,2.6707,27.6611,95.8245,137.5938,0.1218
PKR-67_Vimcell ,b5e10a77-cc84-43ec-8571-767cf955c416,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roish,Polygon,2.8021,538,118.5848,0.7915,25.982,1.2209,61.3801,0.1779
PKR-67_Vimcell ,130691ed-1ee2-4163-bdc2-6d3959e401d7,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roish,Polygon,33.1161,5133,234.128,2.1586,84.9652,61.6453,110.3964,0.2079
PKR-67_Vimcell ,a67e6e38-57a0-4eb5-aa37-6c32ee2dbeed,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roish,Polygon,2.9286,451,76.2404,1.1394,66.1568,104.8711,134.4983,0.1773
PKR-67_Vimcell ,d9ed1e98-9847-407a-afc2-a1b0c7ab94d6,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Middle_stroma_roish,Polygon,0.4068,24,42.7302,1.8759,12.7229,63.3377,144.7893,0.0812
PKR-67_Vimcell ,bde5ea8f-342c-45dd-bf7a-c2972674ecbe,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roish,Polygon,10.9556,1972,90.0357,10.0112,36.8308,44.2181,155.1447,0.1783
PKR-67_Vimcell ,53c8ace0-d281-4e49-adf0-506b6f2ad0c3,CD74_pos: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_pos: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Inner_stroma_roish,Polygon,0.8073,176,26.6123,2.5391,10.9576,162.9942,64.0839,0.2072
PKR-67_Vimcell ,c0fb9ddc-bc54-4ce7-aadf-7899dc7af390,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,Inner_stroma_roish,Polygon,1.4146,174,47.2104,1.0444,21.7378,72.8161,96.9165,0.1252
PKR-67_Vimcell ,6f572814-cb9f-46ba-8691-db1dad307bc0,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roish,Polygon,12.4545,2329,62.0769,5.2522,29.517,25.5044,131.3796,0.2314
PKR-67_Vimcell ,3b38c3de-fdef-4acc-9a63-4cc1fe242d64,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roish,Polygon,5.7778,364,104.8836,3.2584,30.6124,76.2249,125.4019,0.089
PKR-67_Vimcell ,d7cc4b5b-ebcf-4c6e-b60c-16c3ad59e1d5,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roish,Polygon,16.6089,4119,157.0877,2.0118,42.0422,59.4401,121.4562,0.2056
PKR-67_Vimcell ,eae1adb6-9fc9-4d09-816d-1e2485991bf3,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roish,Polygon,22.0842,2098,235.8283,2.073,84.9356,60.3748,113.8684,0.1281
PKR-67_Vimcell ,36009c09-1afd-40f8-9d5b-7d8548af1c1f,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roish,Polygon,1.2143,51,202.346,0.6942,44.2478,170.7344,105.471,0.0768
PKR-67_Vimcell ,f72fb602-045d-426d-a26d-d96eb28d665d,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,Outer_stroma_roisf,Polygon,1.0462,136,120.576,0.7341,10.8603,11.9865,72.3444,0.1522
PKR-67_Vimcell ,67711573-ddf1-414b-9da7-7ae6e6538fd6,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roisf,Polygon,70.8253,16219,104.5305,1.1118,28.6545,55.8538,113.7774,0.2535
PKR-67_Vimcell ,d9dafef0-acb6-4755-9e26-1b5f55739976,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roisf,Polygon,10.0068,2952,114.3659,1.2234,36.3895,63.9009,86.0142,0.2272
PKR-67_Vimcell ,785a7482-ca9a-4446-a022-fa820ea801a6,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,Outer_stroma_roisf,Polygon,1.3182,87,42.8495,1.2917,20.669,111.6273,76.8356,0.1442
PKR-67_Vimcell ,33aa0a7b-53d1-4151-8659-6f1c1137024e,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,Middle_stroma_roisf,Polygon,0.9797,145,101.5016,1.3157,7.17,7.1309,59.8828,0.1501
PKR-67_Vimcell ,dd5a5baf-852f-47d7-8520-30e4af87258b,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,Middle_stroma_roisf,Polygon,1.8808,284,83.1079,0.5476,2.5974,13.2413,26.8422,0.1704
PKR-67_Vimcell ,90439b46-6a97-445d-ac5e-5934dcfd25bc,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roisf,Polygon,7.3485,485,157.8716,1.118,20.472,28.2795,59.5176,0.1321
PKR-67_Vimcell ,d97888bc-ac02-4934-87c5-d39106163497,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roisf,Polygon,3.1429,176,245.654,2.3415,21.1339,5.9732,103.5469,0.1167
PKR-67_Vimcell ,299f625f-fee4-487c-abb2-b86e3095c090,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roisf,Polygon,62.1832,8146,136.7075,2.7513,44.5675,13.8287,105.3438,0.1573
PKR-67_Vimcell ,01012ebe-bf4e-4a2b-860a-6777fadb6f0b,CD74_pos: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_pos: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roisf,Polygon,50.2963,6790,276.7843,4.1895,19.5885,118.9763,72.9713,0.1647
PKR-67_Vimcell ,5923b1c7-5118-4f4a-bbcd-5a2bcc6a0b90,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roisf,Polygon,1.2264,65,150.7691,1.3018,22.2893,31.5967,89.0459,0.0593
PKR-67_Vimcell ,69d12b25-ec68-4e5a-bbcf-c77738b5afd8,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,Inner_stroma_roisf,Polygon,3.3237,575,118.5377,3.2459,6.118,47.8016,120.9328,0.2803
PKR-67_Vimcell ,6cb3f0ce-7716-4151-a020-18d64cbb5306,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Inner_stroma_roisf,Polygon,7.046,1226,59.2264,0.5691,6.9864,20.7845,28.0009,0.1544
PKR-67_Vimcell ,c8f3a768-e657-4bab-9d67-ff9698fd71fb,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,Outer_stroma_roisg,Polygon,0.9668,233,85.6676,0.704,9.5665,2.6375,30.9882,0.2182
PKR-67_Vimcell ,5c37a299-fd30-4811-aa3c-59a325520367,CD74_pos: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_pos: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roisg,Polygon,0.186,16,42.6194,0.3645,8.3842,92.1921,68.0359,0.1465
PKR-67_Vimcell ,b72c6fc2-2f50-425e-b934-4444f18f2061,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roisg,Polygon,6.4286,1305,46.8402,1.3428,3.6623,6.2315,58.4004,0.2036
PKR-67_Vimcell ,1aa68cb1-cb3b-46e5-90ad-0005e19f947e,CD74_pos: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_pos: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,Outer_stroma_roisg,Polygon,3.5,469,70.4722,3.5369,12.2005,95.6391,206.2807,0.172
PKR-67_Vimcell ,e97d7b7a-e5ec-489a-8daf-d8474e426bb3,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roisg,Polygon,0.5652,39,43.4483,0.1737,6.8223,0.2971,61.0809,0.0849
PKR-67_Vimcell ,f1bd0422-7fb2-49ce-9ea7-d2d71141d5c0,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,Outer_stroma_roisg,Polygon,0.1445,25,61.1362,0.5887,13.6624,76.4696,137.5638,0.1452
PKR-67_Vimcell ,568a5709-7223-4237-9a08-c5d09e2a6026,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roisg,Polygon,1.8468,205,46.2847,0.3254,7.0983,31.2237,93.4237,0.1836
PKR-67_Vimcell ,b8537303-b95b-4597-aab6-a5f840e31c8e,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roisg,Polygon,0.2486,46,27.1819,0.1902,10.7622,14.8858,101.0452,0.2155
PKR-67_Vimcell ,a8226332-4d11-49e2-90ff-be9e64ce3835,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Outer_stroma_roisg,Polygon,2.1585,749,50.8251,0.2793,14.4876,4.1651,88.7577,0.2086
PKR-67_Vimcell ,644a3604-43c2-4e05-9044-a13e56bcd16a,CD74_pos: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_pos: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,Outer_stroma_roisg,Polygon,0.3659,60,71.4894,4.7453,10.941,100.2747,130.9855,0.1763
PKR-67_Vimcell ,33198a1f-1ecb-4756-8971-280718317fc4,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,Middle_stroma_roisg,Polygon,0.9636,106,112.2344,0.345,4.7831,2.805,19.6583,0.1151
PKR-67_Vimcell ,18395906-90a3-40ec-840c-dae03d7c6f2f,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roisg,Polygon,0.4615,30,109.0129,5.7726,34.2171,39.416,43.0749,0.165
PKR-67_Vimcell ,b2bcdb9c-62eb-47f6-b033-092025d839ef,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Middle_stroma_roisg,Polygon,0.2614,23,44.5573,0.1562,6.5143,0.4814,59.1003,0.1208
PKR-67_Vimcell ,5618a847-90af-44d1-b3ec-4d282ce92640,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Middle_stroma_roisg,Polygon,2.6423,362,59.7325,0.7039,7.0725,31.5125,94.4697,0.1596
PKR-67_Vimcell ,324aec90-fff7-4f70-91d7-3cbd77cbb9f5,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Middle_stroma_roisg,Polygon,0.6607,111,36.3951,0.6251,6.1917,43.0011,106.9904,0.1751
PKR-67_Vimcell ,30fa5c86-a2e0-46f5-88f9-cd6530105730,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,Middle_stroma_roisg,Polygon,3.7857,265,100.7633,1.7829,9.5534,0.7776,126.2811,0.1189
PKR-67_Vimcell ,816873a7-5dfa-4507-8a90-289b35e588ed,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Middle_stroma_roisg,Polygon,0.7582,138,47.1769,0.2648,8.6022,29.7423,107.3855,0.1802
PKR-67_Vimcell ,8b99ae47-67eb-4910-8e6b-5cc62b7997cf,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Middle_stroma_roisg,Polygon,0.6705,116,40.1811,0.2382,4.1228,30.3821,125.1452,0.2149
PKR-67_Vimcell ,6bf285a3-9358-455c-bb25-352b8d7224f7,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Inner_stroma_roisg,Polygon,16.9068,5444,58.2144,0.6424,5.8882,58.2765,50.6457,0.2634
PKR-67_Vimcell ,d6847882-0714-40f8-81d2-e202c6cce9dd,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Inner_stroma_roisg,Polygon,0.1711,32,23.2891,0.5193,5.1617,59.6687,88.3286,0.1614
PKR-67_Vimcell ,f31f389a-f1d5-4b72-b2e8-c79928974f42,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_pos,Inner_stroma_roisg,Polygon,4.1442,431,84.2188,5.187,10.8667,23.7506,37.522,0.1172
PKR-67_Vimcell ,ac6cddc1-09a9-44f8-a252-8e31891c1aea,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,Inner_stroma_roisg,Polygon,2.9366,602,82.2637,1.315,17.3104,8.5302,81.0879,0.185
PKR-67_Vimcell ,ff88336f-3976-4381-b9e0-6d8211a538ca,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_pos,Inner_stroma_roisg,Polygon,3.7857,477,83.1472,0.319,12.0583,12.8144,83.7653,0.182
PKR-67_Vimcell ,3c1b3ddc-405d-4a86-8f6d-79952aad6c80,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_neg: NGFR_neg: ASMA_neg,Inner_stroma_roisg,Polygon,0.1296,28,60.407,0.1535,9.3488,79.9105,49.6512,0.2464
PKR-67_Vimcell ,525f5488-e928-429b-a106-dd07564a96b3,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_neg: NGFR_neg: ASMA_neg,Inner_stroma_roisg,Polygon,0.1148,14,27.413,0.3702,5.0055,31.7099,126.7887,0.1596
PKR-67_Vimcell ,941b7e7c-91bc-4b51-a895-899fbeafe76a,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roise,Polygon,13.9632,1899,87.2219,13.8668,27.6658,18.1488,45.346,0.1707
PKR-67_Vimcell ,980c900c-344c-454a-a318-288ed9728dab,CD74_neg: Vim_neg: PDGFR_pos: NGFR_pos: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_pos: ASMA_pos,Outer_stroma_roise,Polygon,17.4887,2326,66.706,28.0524,54.2643,28.8179,25.4083,0.154
PKR-67_Vimcell ,8e1e339a-3990-4852-adf1-633182dde8e1,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,Outer_stroma_roise,Polygon,2.223,309,63.531,4.1456,21.1587,10.5644,31.0835,0.1644
PKR-67_Vimcell ,f1f0b8f0-c014-4667-a682-41184cd93e47,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,Outer_stroma_roise,Polygon,17.2797,2039,67.4923,6.4724,40.9018,60.1672,96.7086,0.1724
PKR-67_Vimcell ,8c2f19b3-7397-4d75-9727-aef7c30c7c40,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roise,Polygon,6.6235,563,94.934,6.0314,53.7028,5.2421,115.6006,0.1253
PKR-67_Vimcell ,f5fbb53e-9be3-4255-8178-106778c47911,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,Outer_stroma_roise,Polygon,4.7654,1544,60.3698,4.253,39.9731,10.7388,80.2178,0.2413
PKR-67_Vimcell ,c035b03b-6f29-4931-88d7-f19f0e3a02bf,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,Middle_stroma_roise,Polygon,9.1089,2341,48.1591,5.7426,27.4972,9.0008,70.9041,0.2022
PKR-67_Vimcell ,7d3b8d7a-2645-4dd7-8057-96302aa978f9,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Middle_stroma_roise,Polygon,13.3762,1351,82.4965,8.4191,52.0225,18.481,121.0211,0.1376
PKR-67_Vimcell ,5dcf9f53-900a-4a5e-90b7-f77492690b46,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roise,Polygon,22.6463,3714,97.475,21.5152,47.7832,46.922,152.2534,0.1955
PKR-67_Vimcell ,ed3b1df1-2584-4bec-aa97-aff0eae06c6c,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Inner_stroma_roise,Polygon,12.0893,1354,105.1713,10.2439,45.2142,19.5233,60.0317,0.2067
PKR-67_Vimcell ,048f7445-6ecf-486b-b2b0-8beee9ec2799,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_neg,Inner_stroma_roise,Polygon,4.6854,834,35.4343,4.4041,26.9659,44.6826,58.9825,0.1708
PKR-67_Vimcell ,36517963-8407-4366-a05d-e1b6bdce5d00,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roisd,Polygon,2.472,309,65.7663,2.4655,42.91,11.1609,83.4521,0.2318
PKR-67_Vimcell ,a5edc999-2918-4759-868f-443e2274f839,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roisd,Polygon,1.8898,446,65.2553,1.8805,39.5258,3.2027,47.9197,0.221
PKR-67_Vimcell ,fbb43e94-bf2b-416f-a646-896dd9db500e,CD74_pos: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_pos: Vim_neg: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roisd,Polygon,7.1832,941,162.2673,6.1543,72.3764,73.9247,48.7604,0.1596
PKR-67_Vimcell ,dbd4c982-8520-4fa1-8962-704d53d74b51,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roisd,Polygon,8.1908,2146,140.1833,9.9989,97.2998,19.5667,72.5572,0.2751
PKR-67_Vimcell ,aae2c718-f3a4-43ad-ab94-cbd5ffe382bc,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,CD74_neg: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_pos,Outer_stroma_roisd,Polygon,7.3315,1327,93.8828,3.9111,47.5031,7.432,95.3975,0.1895
PKR-67_Vimcell ,57a9179b-d2b4-4dc6-8f06-59accb632546,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,CD74_pos: Vim_pos: PDGFR_pos: NGFR_neg: ASMA_neg,Outer_stroma_roisd,Polygon,3.1818,350,50.3446,3.2969,75.5923,195.9277,71.0415,0.1607
